"captured_at","market_id","condition_id","market_start_timestamp","market_resolution_timestamp","seconds_to_resolution","yes_token_id","no_token_id","best_ask_yes","best_ask_no","best_bid_yes","best_bid_no","market_probability","btc_price","btc_return_1m","btc_return_5m","btc_return_15m","btc_volatility_15m","source_status","error"
"2026-06-17T12:46:29.513926+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","210","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","0.14","","0.13","","64980.0","0.00021534337725226393","0.0025316315083749874","0.003924389569012421","0.00037115661728457223","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=79494582102486325783067873798097594644113543856288214123338744299603228284799 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:46:43.657422+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","196","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","0.82","0.19","0.81","0.18","0.82","64910.96","0.00016363550637787938","0.002379361081015663","0.0037115594286334375","0.0003758040485296692","PARTIAL","btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:46:57.462985+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","182","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","0.22","","0.21","","64956.35","-7.896987568645208e-05","0.0017635174732426595","0.0030939217987522305","0.0003785502512573011","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=79494582102486325783067873798097594644113543856288214123338744299603228284799 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:47:09.542388+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","170","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","0.12","","0.11","","","","","","","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=79494582102486325783067873798097594644113543856288214123338744299603228284799 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_coinbase_candles=http_json failed url=https://api.coinbase.com/api/v3/brokerage/market/products/BTC-USD/candles?granularity=ONE_MINUTE&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_coinbase_spot=http_json failed url=https://api.coinbase.com/v2/prices/BTC-USD/spot error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:47:34.830554+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","145","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","0.93","","0.92","","0.93","64917.955","","","","","PARTIAL","no_book=http_json failed url=https://clob.polymarket.com/book?token_id=32462213968597043990883885886533973973752820156333651922578200942644679592888 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_coinbase_candles=http_json failed url=https://api.coinbase.com/api/v3/brokerage/market/products/BTC-USD/candles?granularity=ONE_MINUTE&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:47:59.066570+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","120","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","0.01","","","","64969.8","0.0004893897288522631","0.0024979975438184088","0.0036782596471280904","0.0003900329296070769","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=79494582102486325783067873798097594644113543856288214123338744299603228284799 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:48:29.567095+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","90","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","0.01","","","","64979.56","0.0006396868891289653","0.002648596444477125","0.0038290358510590927","0.0003979308227051005","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=79494582102486325783067873798097594644113543856288214123338744299603228284799 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out')); btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:48:47.544362+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","72","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","0.01","","","","65044.0","0.0006638374728946683","0.002744118644590454","0.003929655159640388","0.0003852495676797145","PARTIAL","yes_book=http_json failed url=https://clob.polymarket.com/book?token_id=79494582102486325783067873798097594644113543856288214123338744299603228284799 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:48:57.030420+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","62","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","0.01","0.99","","0.99","64994.79","0.00023207244230549762","0.0021535693712384507","0.004162199717915982","0.00039763702576189007","PARTIAL","btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
"2026-06-17T12:49:20.386550+00:00","btc-updown-5m-1781700300","0xc46bb6546d7cc05c972ae26d1ad0dbb3000b9f115511fcffd9d6434ae3cbe182","2026-06-16T12:53:40.876860+00:00","2026-06-17T12:50:00+00:00","39","79494582102486325783067873798097594644113543856288214123338744299603228284799","32462213968597043990883885886533973973752820156333651922578200942644679592888","","0.01","0.99","","0.99","64971.93","-0.00011972968177298426","0.0018010914173005599","0.00380901528750921","0.0004102323436378198","PARTIAL","btc_binance=http_json failed url=https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=32 error=URLError(TimeoutError('_ssl.c:993: The handshake operation timed out'))"
