family,setting,stratum,external_move_threshold_bps,repricing_ratio,min_confidence,min_dataset_seconds_to_expiry,required_horizons,candidate_observations,candidate_count,signal_count,candidate_retention_pct,overlap_retention_pct,signals_per_hour_session_span,signals_per_hour_smoke_span,btc_signals,eth_signals,sol_signals,yes_signals,no_signals,btc_candidate,eth_candidate,sol_candidate,yes_candidate,no_candidate,horizon_30_coverage,horizon_60_coverage,horizon_120_coverage,horizon_180_coverage,reason_external_move_below_threshold,reason_polymarket_already_repriced,reason_near_expiry_insufficient_time,reason_late_entry_window,reason_confidence_below_threshold,reason_qualified,dominant_removed_filter,collection_quality_score,description,recommended_for_future_collection
collection_stratum,conservative,conservative,8.0,0.5,0.65,35.0,none,64130,260,48,0.004054264774676439,0.18461538461538463,3.0833037534990777,3.6570069337413345,14,16,18,9,39,105,72,83,171,89,1.0,0.8958333333333334,0.75,0.0,36465,20973,6417,1,274,0,external_move_below_threshold,0.489367,Current strict repricing lane.,False
collection_stratum,balanced,balanced,6.0,0.65,0.45,60.0,none,64130,370,61,0.0057695306408857006,0.16486486486486487,3.9183651867384115,4.647446311629612,17,20,24,14,47,144,113,113,278,92,1.0,0.9836065573770492,0.8032786885245902,0.0,30645,26637,6417,42,267,122,external_move_below_threshold,0.560558,"Recommended future collection lane selected for evidence quality, not P&L.",True
collection_stratum,aggressive,aggressive,4.0,0.8,0.3,35.0,none,64130,749,124,0.011679401216279433,0.16555407209612816,7.965201363205951,9.447267912165115,28,33,63,44,80,208,188,353,473,276,1.0,0.967741935483871,0.8225806451612904,0.0,21473,35410,6417,81,7,742,polymarket_already_repriced,0.716667,High-density diagnostic lane; keep separate.,False
