wallet_id,profile_url,score,priority_bucket,reason_codes,structural_strengths,structural_risks,recommended_next_research_action,source_score_version,source_scores_sha256,watchlist_version
0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,https://polymarket.com/0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,73,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;concentration_risk;near_flat_residual_ambiguity,strong visible lifecycle coverage; high fast-crypto lifecycle share; visible partial-exit structure; visible repeated event density; interpretable market specialization,bounded public history only; high concentration limits generality; near-flat residual ambiguity,include in research watchlist and prepare deeper public-history review,wallet_score_v1_structural_fixture,52ceafde32dc6e6c4d07829e824a83c9b767bc7da4d1b3461188e6cda2e3b2ad,wallet_watchlist_v1_from_score_fixture
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,https://polymarket.com/0x63ce342161250d705dc0b16df89036c8e5f9ba9a,42.14285714285714285714285714,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;small_visible_sample;near_flat_residual_ambiguity,minimum visible lifecycle coverage; high fast-crypto lifecycle share; visible partial-exit structure; visible repeated event density; interpretable market specialization,bounded public history only; small visible lifecycle sample; near-flat residual ambiguity,keep in research watchlist and revisit after deeper public-history evidence,wallet_score_v1_structural_fixture,52ceafde32dc6e6c4d07829e824a83c9b767bc7da4d1b3461188e6cda2e3b2ad,wallet_watchlist_v1_from_score_fixture
0xd0d6053c3c37e727402d84c14069780d360993aa,https://polymarket.com/@k9Q2mX4L8A7ZP3R,32,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;bounded_history_artifact_risk;small_visible_sample,minimum visible lifecycle coverage; high fast-crypto lifecycle share; visible partial-exit structure; visible repeated event density; interpretable market specialization,bounded public history only; small visible lifecycle sample; bounded-history artifact risk,keep in research watchlist and revisit after deeper public-history evidence,wallet_score_v1_structural_fixture,52ceafde32dc6e6c4d07829e824a83c9b767bc7da4d1b3461188e6cda2e3b2ad,wallet_watchlist_v1_from_score_fixture
0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,https://polymarket.com/0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,26,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;small_visible_sample,minimum visible lifecycle coverage; high fast-crypto lifecycle share; visible repeated event density; interpretable market specialization,bounded public history only; all or mostly open visible lifecycle state; small visible lifecycle sample,keep in research watchlist and revisit after deeper public-history evidence,wallet_score_v1_structural_fixture,52ceafde32dc6e6c4d07829e824a83c9b767bc7da4d1b3461188e6cda2e3b2ad,wallet_watchlist_v1_from_score_fixture
0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,https://polymarket.com/@0x594edB9112f526Fa6A80b8F858A6379C8A2c1C11,13,insufficient_visible_structure,bucket_insufficient_visible_structure;minimum_visibility_passed;no_fast_crypto_visibility;all_or_mostly_open_visibility;concentration_risk,minimum visible lifecycle coverage; visible repeated event density,bounded public history only; all or mostly open visible lifecycle state; no visible fast-crypto lifecycle share; high concentration limits generality; insufficient visible structure bucket,retain as low-visibility control unless additional bounded public history is collected,wallet_score_v1_structural_fixture,52ceafde32dc6e6c4d07829e824a83c9b767bc7da4d1b3461188e6cda2e3b2ad,wallet_watchlist_v1_from_score_fixture
0xde17f7144fbd0eddb2679132c10ff5e74b120988,https://polymarket.com/0xde17f7144fbd0eddb2679132c10ff5e74b120988,6,insufficient_visible_structure,bucket_insufficient_visible_structure;minimum_visibility_passed;no_fast_crypto_visibility;all_or_mostly_open_visibility;concentration_risk;small_visible_sample,minimum visible lifecycle coverage; visible repeated event density,bounded public history only; all or mostly open visible lifecycle state; no visible fast-crypto lifecycle share; small visible lifecycle sample; high concentration limits generality; insufficient visible structure bucket,retain as low-visibility control unless additional bounded public history is collected,wallet_score_v1_structural_fixture,52ceafde32dc6e6c4d07829e824a83c9b767bc7da4d1b3461188e6cda2e3b2ad,wallet_watchlist_v1_from_score_fixture
