wallet_id,profile_url,total_lifecycle_positions,still_open_positions,partial_exits,full_exits,oversold_bounded_history,average_position_size,median_position_size,average_buy_count_per_lifecycle,average_sell_count_per_lifecycle,average_events_per_lifecycle,percentage_still_open_positions,percentage_sell_only_lifecycles,buy_trade_count,sell_trade_count,total_visible_bought_size,total_visible_sold_size,remaining_visible_size,oversold_visible_size,near_flat_residual_count,fast_crypto_lifecycle_count,fast_crypto_lifecycle_share,dominant_asset,asset_concentration,dominant_outcome,outcome_concentration
0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,https://polymarket.com/0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,6,6,0,0,0,923.0419703333333333333333333,732.845454,16.66666666666666666666666667,0,16.66666666666666666666666667,1,0,100,0,5538.251822,0,5538.251822,0,0,6,1,BTC,0.3333333333333333333333333333,Down,0.5
0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,https://polymarket.com/@0x594edB9112f526Fa6A80b8F858A6379C8A2c1C11,23,23,0,0,0,2062.800700260869565217391304,199.966498,4.347826086956521739130434783,0,4.347826086956521739130434783,1,0,100,0,47444.416106,0,47444.416106,0,0,0,0,other,1,Yes,0.5217391304347826086956521739
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,https://polymarket.com/0x63ce342161250d705dc0b16df89036c8e5f9ba9a,7,5,2,0,0,25429.81280914285714285714286,491.55517,13.71428571428571428571428571,0.5714285714285714285714285714,14.28571428571428571428571429,0.7142857142857142857142857143,0,96,4,178008.689664,175257.14,2751.549664,0,1,6,0.8571428571428571428571428571,BTC,0.4285714285714285714285714286,Down,0.4285714285714285714285714286
0xd0d6053c3c37e727402d84c14069780d360993aa,https://polymarket.com/@k9Q2mX4L8A7ZP3R,8,5,1,0,2,205.401176375,205.065,10.125,2.375,12.5,0.625,0.25,81,19,1233.079411,700.987141,942.22227,410.13,0,6,0.75,BTC,0.625,Up,0.625
0xde17f7144fbd0eddb2679132c10ff5e74b120988,https://polymarket.com/0xde17f7144fbd0eddb2679132c10ff5e74b120988,11,11,0,0,0,878.2281868181818181818181818,51.51,9.090909090909090909090909091,0,9.090909090909090909090909091,1,0,100,0,9660.510055,0,9660.510055,0,0,0,0,BTC,1,No,0.7272727272727272727272727273
0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,https://polymarket.com/0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,57,24,33,0,0,230.0271986315789473684210526,233.94736,1.157894736842105263157894737,0.5964912280701754385964912281,1.754385964912280701754385965,0.4210526315789473684210526316,0,66,34,13111.550322,8277.63994,4833.910382,0,9,57,1,BTC,1,Down,0.5614035087719298245614035088
