asset,market_id,question,direction,yes_token_id,no_token_id,external_move,polymarket_move,lag_score,confidence,reason,timestamp
SOL,0x78e6a3146dd778fc3150db6ba5f2fe3b701ff446bbaff21453236e84bee5434d,"Solana Up or Down - June 25, 7:30PM-7:35PM ET",DOWN,1333635653363504161753493999423126847213626100618164059707140801794231526624,84990303574674754410242845705069074146012676246377180494665906324016068344324,-0.00160983,0.11,0.670764,0.653688,qualified_external_move_not_repriced,2026-06-25T23:30:14.811724+00:00
ETH,0xc358642287952e08f2fbbd5a90f7574d73a87685780ca454b0efda7e9e598cd4,"Ethereum Up or Down - June 25, 11:00PM-11:05PM ET",DOWN,90083366791837894978753308625075456294640810059283861615398445058581723175525,67530971014211471125237647225494738493475813079721002486122836384638918301321,-0.00204589,0.055,0.852453,0.857208,qualified_external_move_not_repriced,2026-06-26T03:01:24.814231+00:00
SOL,0x200710e3e43d33b143ccd80d0a2e3a265017d2dc75281f8951b674131c3f26bb,"Solana Up or Down - June 25, 11:05PM-11:10PM ET",DOWN,116367159856207177264094064041057711676748519733619536051513067708264668203,35428069213997133520462234293030026511004308625168568004286994681520993228031,-0.00120265,0.025,0.501102,0.510992,qualified_external_move_not_repriced,2026-06-26T03:06:28.814788+00:00
SOL,0x0b97e37bec2a876f4ff7b37c51c8895e26ea39d6e3a2d9cb9ddbe6b457ce8860,"Solana Up or Down - June 25, 11:30PM-11:35PM ET",UP,33602008929099449566318653077434300998090824058550727164951413638699490006412,95702341235594692830565297949443868543261898633044757102470615674700703512638,0.00239449,-0.05,0.997705,0.947935,qualified_external_move_not_repriced,2026-06-26T03:32:26.818047+00:00
SOL,0x4899182aad7398c555f2a57cd6737598b159c5e6aa63bb73b798e6026f8b0094,"Solana Up or Down - June 25, 11:55PM-12:00AM ET",DOWN,24371048633772559332259632240746800045933379967645937130243569239917990619659,111441189506340622655521882027419954476360461564928936614742610768356936620286,-0.00132004,0.01,0.550015,0.585013,qualified_external_move_not_repriced,2026-06-26T03:55:08.803525+00:00
BTC,0x63cab951a7245a6f73b6e5e26a09e371e2feeeecc1e604537033a6353bf3944e,"Bitcoin Up or Down - June 26, 12:00AM-12:05AM ET",DOWN,19687263540537311883719838438114621486323444505305329599449273132428744925271,55985753307961822939591850655850844628297690235794074982433508553615539763675,-0.00124615,0.075,0.51923,0.557307,qualified_external_move_not_repriced,2026-06-26T04:00:20.812413+00:00
SOL,0x4ff498fe655344b90bf7a5b904a79a24821ad4553fd49596772479324346a029,"Solana Up or Down - June 26, 2:50AM-2:55AM ET",DOWN,45452611850838932546465641145471262714496571846161061134923019047669044943964,34801517054801004504586389831991950906596653520240450307739828462460136450718,-0.00114877,0.205,0.478652,0.450787,qualified_external_move_not_repriced,2026-06-26T06:53:30.812574+00:00
SOL,0xe6a382ea25b9a95e964f4832e995c5e02cc31115908a9ef32975a67d8f3ede20,"Solana Up or Down - June 26, 4:00AM-4:05AM ET",DOWN,75293152984548684226943607614855521973762998832218664240070587670364624915716,37891901913927393909565006386582505552656775416106455219738492801688696259828,-0.0009887,0.04,0.411959,0.460763,qualified_external_move_not_repriced,2026-06-26T08:00:30.814345+00:00
