timestamp,market_id,asset,question,reason
2026-06-25T20:07:54.818510+00:00,0x0c9ba89c9235e7b5f206c92800c19c063fbfd8bf590ed3fe9c00a4f1b262c37a,BTC,"Bitcoin Up or Down - June 25, 4:00PM-4:05PM ET",window_expired
2026-06-25T20:07:54.818510+00:00,0x7d59e5a685e223563380c1633fed6a4562260116891a9f651050eabad3054bc2,ETH,"Ethereum Up or Down - June 25, 4:00PM-4:05PM ET",window_expired
2026-06-25T20:07:54.818510+00:00,0x89f55989e8507961a9ce6046312df5f3aba2053eeedcbd161f61bcd3f4059716,SOL,"Solana Up or Down - June 25, 4:00PM-4:05PM ET",inactive_or_closed
2026-06-25T20:07:54.818510+00:00,0xee90821efc94653c995d4583794da5c87e3c033a1e0a24f1f4ee824d2357c750,BTC,"Bitcoin Up or Down - June 25, 4:05PM-4:10PM ET",polymarket_quote_error:ValueError
2026-06-25T20:07:54.818510+00:00,0x87a6fd8572d3a4fd162e6a3bfe41b91390a20e2744dabc4f88fd62e45c118f56,ETH,"Ethereum Up or Down - June 25, 4:05PM-4:10PM ET",polymarket_quote_error:ValueError
2026-06-25T20:07:54.818510+00:00,0x28f1396ee955118efdf5bdc69346645d0ca8835c1337ac8e8db146427e22fa5a,SOL,"Solana Up or Down - June 25, 4:05PM-4:10PM ET",polymarket_quote_error:ValueError
2026-06-25T20:07:56.804409+00:00,0xee90821efc94653c995d4583794da5c87e3c033a1e0a24f1f4ee824d2357c750,BTC,"Bitcoin Up or Down - June 25, 4:05PM-4:10PM ET",external_move_below_threshold
2026-06-25T20:07:56.804409+00:00,0x87a6fd8572d3a4fd162e6a3bfe41b91390a20e2744dabc4f88fd62e45c118f56,ETH,"Ethereum Up or Down - June 25, 4:05PM-4:10PM ET",external_move_below_threshold
2026-06-25T20:07:56.804409+00:00,0x28f1396ee955118efdf5bdc69346645d0ca8835c1337ac8e8db146427e22fa5a,SOL,"Solana Up or Down - June 25, 4:05PM-4:10PM ET",external_move_below_threshold
2026-06-25T20:07:58.811297+00:00,0xee90821efc94653c995d4583794da5c87e3c033a1e0a24f1f4ee824d2357c750,BTC,"Bitcoin Up or Down - June 25, 4:05PM-4:10PM ET",external_move_below_threshold
