wallet_id,profile_url,wallet_score,score_band,watchlist_priority_bucket,watchlist_reason_codes,total_fast_crypto_positions,resolved_positions,matched_outcomes,unmatched_outcomes,unresolved_positions,insufficient_evidence_positions,unresolved_fraction,high_confidence_resolved_positions,match_rate,population_baseline_rate,random_baseline_rate,leave_one_out_population_rate,difference_vs_population_baseline,difference_vs_random_baseline,z_score_vs_population_baseline,z_score_vs_random_baseline,wilson_ci_low,wilson_ci_high,btc_resolved_positions,eth_resolved_positions,sol_resolved_positions,sample_gate_status,evidence_classification,invalidation_risks
0x25f4707c93e4bfdf26cd6c5cc46c5464691cf88e,https://polymarket.com/0x25f4707c93e4bfdf26cd6c5cc46c5464691cf88e,46.2,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,24,24,12,12,0,0,0.000000,24,0.500000,0.524609,0.500000,0.524943,-0.024609,0.000000,-0.241406,0.000000,0.314271,0.685729,24,0,0,insufficient_resolved_sample,insufficient_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;small_sample
0x29a55c2bf8efd1029c001477b34be47d3ca37752,https://polymarket.com/0x29a55c2bf8efd1029c001477b34be47d3ca37752,56.1875,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;bounded_history_artifact_risk;concentration_risk,57,56,40,16,1,0,0.017544,56,0.714286,0.524609,0.500000,0.518476,0.189677,0.214286,2.842273,3.207135,0.585245,0.815814,0,56,0,passed,above_baseline_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;requires_out_of_sample_confirmation
0x2c3ef176341ced9b0c5456d355d58fc0832e282d,https://polymarket.com/0x2c3ef176341ced9b0c5456d355d58fc0832e282d,38,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,200,200,117,83,0,0,0.000000,200,0.585000,0.524609,0.500000,0.517003,0.060391,0.085000,1.710202,2.404163,0.515738,0.651058,200,0,0,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x2e554602dbe0d9549fd5a356892f3f7ddb28c549,https://polymarket.com/0x2e554602dbe0d9549fd5a356892f3f7ddb28c549,61.85950413223140495867768595,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity,102,102,48,54,0,0,0.000000,102,0.470588,0.524609,0.500000,0.527877,-0.054020,-0.029412,-1.092480,-0.594089,0.376557,0.566754,43,30,29,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x3b19d4c9e38af6e6d6923039275d5cfe89bc3655,https://polymarket.com/0x3b19d4c9e38af6e6d6923039275d5cfe89bc3655,44.63302752293577981651376147,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,107,107,46,61,0,0,0.000000,107,0.429907,0.524609,0.500000,0.530637,-0.094702,-0.070093,-1.961587,-1.450105,0.340139,0.524533,107,0,0,passed,below_baseline_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x3c6afcbc144b6bb110dbf8538bde2781c24a8a58,https://polymarket.com/0x3c6afcbc144b6bb110dbf8538bde2781c24a8a58,69.5,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;bounded_history_artifact_risk;concentration_risk;near_flat_residual_ambiguity,44,44,29,15,0,0,0.000000,44,0.659091,0.524609,0.500000,0.521216,0.134482,0.159091,1.786276,2.110579,0.511389,0.781244,44,0,0,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x4228048ea2f8f571ff2777cc32baee584c5134cb,https://polymarket.com/0x4228048ea2f8f571ff2777cc32baee584c5134cb,85.8974358974358974358974359,high_priority,high_priority,bucket_high_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity,62,62,33,29,0,0,0.000000,62,0.532258,0.524609,0.500000,0.524334,0.007650,0.032258,0.120612,0.508001,0.409838,0.650914,14,27,21,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x47d7dfd8b93e656d44ed173c848203e05982113a,https://polymarket.com/0x47d7dfd8b93e656d44ed173c848203e05982113a,52,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,51,51,23,28,0,0,0.000000,51,0.450980,0.524609,0.500000,0.526770,-0.073628,-0.049020,-1.052896,-0.700140,0.322673,0.586155,51,0,0,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x4a0b6dacb223f1126080048826f0271dbe31ff39,https://polymarket.com/0x4a0b6dacb223f1126080048826f0271dbe31ff39,84.2,high_priority,high_priority,bucket_high_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;near_flat_residual_ambiguity,48,48,25,23,0,0,0.000000,48,0.520833,0.524609,0.500000,0.524713,-0.003775,0.020833,-0.052374,0.288675,0.383290,0.655289,38,9,1,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x4af813b3fc6038c55d06ce21531e9dceab093b6d,https://polymarket.com/0x4af813b3fc6038c55d06ce21531e9dceab093b6d,37,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,16,16,8,8,0,0,0.000000,16,0.500000,0.524609,0.500000,0.524831,-0.024609,0.000000,-0.197107,0.000000,0.279992,0.720008,16,0,0,insufficient_resolved_sample,insufficient_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;small_sample
0x4bfb3f47ad1a0b494ecaa3c1a9bfba22a4c39f3a,https://polymarket.com/0x4bfb3f47ad1a0b494ecaa3c1a9bfba22a4c39f3a,67.31818181818181818181818182,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;bounded_history_artifact_risk;concentration_risk;near_flat_residual_ambiguity,110,110,14,96,0,0,0.000000,110,0.127273,0.524609,0.500000,0.550656,-0.397336,-0.372727,-8.344698,-7.818393,0.077349,0.202352,110,0,0,passed,below_baseline_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x4d0730b1c8b4da2444ab7a4a389a607584132b94,https://polymarket.com/0x4d0730b1c8b4da2444ab7a4a389a607584132b94,46.2368421052631578947368421,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;visible_partial_exit_activity;bounded_history_artifact_risk;near_flat_residual_ambiguity,75,75,34,41,0,0,0.000000,75,0.453333,0.524609,0.500000,0.527729,-0.071275,-0.046667,-1.236020,-0.808290,0.345696,0.565518,19,33,23,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x54afeb88e709fbfb7e75a1ab8275ed4f0b333130,https://polymarket.com/0x54afeb88e709fbfb7e75a1ab8275ed4f0b333130,59,medium_priority,medium_priority,bucket_medium_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;all_or_mostly_open_visibility;concentration_risk,83,83,41,42,0,0,0.000000,83,0.493976,0.524609,0.500000,0.526100,-0.030633,-0.006024,-0.558830,-0.109764,0.389087,0.599398,83,0,0,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x59e9593d9ad358947577a51f2c2d32b49cff2f9d,https://polymarket.com/0x59e9593d9ad358947577a51f2c2d32b49cff2f9d,45,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;all_or_mostly_open_visibility;concentration_risk,132,132,71,61,0,0,0.000000,132,0.537879,0.524609,0.500000,0.523551,0.013270,0.037879,0.305298,0.870388,0.452959,0.620656,132,0,0,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x60ca7ed001bb8496c50fde95329f6a8fa756f86e,https://polymarket.com/0x60ca7ed001bb8496c50fde95329f6a8fa756f86e,37.63157894736842105263157895,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;all_or_mostly_open_visibility,82,82,45,37,0,0,0.000000,82,0.548780,0.524609,0.500000,0.523447,0.024172,0.048780,0.438304,0.883452,0.441306,0.651889,21,30,31,passed,sample_size_consistent_with_baseline,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,https://polymarket.com/0x63ce342161250d705dc0b16df89036c8e5f9ba9a,37.14285714285714285714285714,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;small_visible_sample;near_flat_residual_ambiguity,6,6,2,4,0,0,0.000000,6,0.333333,0.524609,0.500000,0.525253,-0.191275,-0.166667,-0.938190,-0.816497,0.096769,0.700012,3,3,0,insufficient_resolved_sample,insufficient_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;small_sample
0xd0d6053c3c37e727402d84c14069780d360993aa,https://polymarket.com/@k9Q2mX4L8A7ZP3R,48.3076923076923076923076923,low_priority,low_priority,bucket_low_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;bounded_history_artifact_risk;small_visible_sample,11,11,5,6,0,0,0.000000,11,0.454545,0.524609,0.500000,0.525042,-0.070063,-0.045455,-0.465310,-0.301511,0.212710,0.719912,7,4,0,insufficient_resolved_sample,insufficient_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;small_sample
0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,https://polymarket.com/0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,75,high_priority,high_priority,bucket_high_priority;minimum_visibility_passed;fast_crypto_relevant;visible_partial_exit_activity;concentration_risk;near_flat_residual_ambiguity,89,89,74,15,0,0,0.000000,89,0.831461,0.524609,0.500000,0.508534,0.306852,0.331461,5.796700,6.253987,0.740373,0.895118,89,0,0,passed,above_baseline_evidence,retrospective_selection_bias;bounded_history;missing_visibility_delay;missing_entry_exit_linkage;missing_liquidity_context;requires_out_of_sample_confirmation
