policy,lifetime_seconds,asset_filter,regime,attempts,attempts_per_hour,any_fill_proxy_count,raw_cross_depletion_rate,queue_adjusted_any_fill_probability,two_sided_fill_proxy_count,queue_adjusted_two_sided_probability,one_sided_fill_proxy_count,one_sided_share_of_triggered,expected_filled_shares,expected_capacity_shares_per_hour,pnl,expectancy_dollars_per_attempt,expectancy_probability_points_per_filled_share,win_rate_attempts,max_drawdown_dollars,market_cluster_95_low_dollars_per_attempt,market_cluster_95_high_dollars_per_attempt,positive_assets,asset_count,positive_sessions,session_count,largest_asset_positive_pnl_share,largest_session_positive_pnl_share,by_asset,by_session,passes_prospective_shadow_gate
all_assets_2s,2,ALL,standard,358,5.966666666666667,305,0.8519553072625698,0.3194832402234637,30,0.031424581005586594,275,0.9016393442622951,5713.47,95.2245,-284.87767499999995,-0.7957476955307262,-0.049860710741458335,0.09776536312849161,284.87767499999995,-0.9999360020661157,-0.5992915851955306,0,3,1,5,,,"{""BTC"":{""attempts"":126,""expectancy"":-1.3006386904761904,""max_drawdown"":163.88047500000005,""pnl"":-163.880475},""ETH"":{""attempts"":59,""expectancy"":-0.7394618644067795,""max_drawdown"":43.83558749999998,""pnl"":-43.628249999999994},""SOL"":{""attempts"":173,""expectancy"":-0.44721936416184965,""max_drawdown"":77.36895,""pnl"":-77.36895}}","{""1"":{""attempts"":171,""expectancy"":-0.9146457236842105,""max_drawdown"":156.40441875000002,""pnl"":-156.40441875},""2"":{""attempts"":7,""expectancy"":0.052703571428571495,""max_drawdown"":3.1010250000000013,""pnl"":0.3689250000000005},""3"":{""attempts"":15,""expectancy"":-0.48320499999999966,""max_drawdown"":7.248074999999995,""pnl"":-7.248074999999995},""4"":{""attempts"":22,""expectancy"":-0.1987551136363637,""max_drawdown"":4.3726125000000025,""pnl"":-4.372612500000002},""5"":{""attempts"":143,""expectancy"":-0.8197307255244753,""max_drawdown"":117.30586874999995,""pnl"":-117.22149374999998}}",False
all_assets_5s,5,ALL,standard,352,5.866666666666666,327,0.9289772727272727,0.3483664772727273,47,0.05007102272727272,280,0.8562691131498471,6534.63375,108.9105625,-332.63596875,-0.9449885475852273,-0.05090353667487486,0.1534090909090909,332.63596874999996,-1.1782905807365438,-0.7364620750708215,0,3,1,5,,,"{""BTC"":{""attempts"":125,""expectancy"":-1.5345105,""max_drawdown"":191.81381250000007,""pnl"":-191.8138125},""ETH"":{""attempts"":57,""expectancy"":-1.0082217105263158,""max_drawdown"":57.46863750000001,""pnl"":-57.4686375},""SOL"":{""attempts"":170,""expectancy"":-0.49031481617647055,""max_drawdown"":83.36805000000001,""pnl"":-83.35351874999999}}","{""1"":{""attempts"":167,""expectancy"":-1.0955384730538922,""max_drawdown"":182.95492500000003,""pnl"":-182.954925},""2"":{""attempts"":7,""expectancy"":0.21138214285714269,""max_drawdown"":3.0554250000000005,""pnl"":1.4796749999999987},""3"":{""attempts"":14,""expectancy"":-0.4051848214285712,""max_drawdown"":5.672587499999996,""pnl"":-5.672587499999997},""4"":{""attempts"":22,""expectancy"":-0.5862357954545456,""max_drawdown"":12.897187500000005,""pnl"":-12.897187500000003},""5"":{""attempts"":142,""expectancy"":-0.9337390404929576,""max_drawdown"":134.52851250000003,""pnl"":-132.59094374999998}}",False
all_assets_15s,15,ALL,standard,323,5.383333333333334,319,0.9876160990712074,0.3703560371517028,109,0.1265479876160991,210,0.658307210031348,8158.4925,135.974875,-402.0961875,-1.2448798374613002,-0.049285598718145536,0.23839009287925697,402.09618750000004,-1.5766612004950495,-0.9335190972222223,0,3,1,5,,,"{""BTC"":{""attempts"":116,""expectancy"":-1.9659982758620689,""max_drawdown"":228.0558,""pnl"":-228.05579999999998},""ETH"":{""attempts"":50,""expectancy"":-1.2538638750000002,""max_drawdown"":64.63569375000002,""pnl"":-62.69319375000001},""SOL"":{""attempts"":157,""expectancy"":-0.7092177945859871,""max_drawdown"":113.37993749999997,""pnl"":-111.34719374999997}}","{""1"":{""attempts"":154,""expectancy"":-1.5350100243506493,""max_drawdown"":236.48529374999998,""pnl"":-236.39154374999998},""2"":{""attempts"":7,""expectancy"":0.4786714285714287,""max_drawdown"":3.5936999999999997,""pnl"":3.3507000000000007},""3"":{""attempts"":13,""expectancy"":-0.27807836538461517,""max_drawdown"":11.723456249999998,""pnl"":-3.615018749999997},""4"":{""attempts"":21,""expectancy"":-0.954657142857143,""max_drawdown"":21.098493750000003,""pnl"":-20.047800000000002},""5"":{""attempts"":128,""expectancy"":-1.1358791015625,""max_drawdown"":146.83897500000003,""pnl"":-145.392525}}",False
all_assets_30s,30,ALL,standard,304,5.066666666666666,303,0.9967105263157895,0.3737664473684211,133,0.1640625,170,0.5610561056105611,8242.68,137.37800000000001,-458.2156125,-1.507288199013158,-0.0555906103961333,0.26973684210526316,458.21561249999996,-1.9805835695876288,-1.0857497715946844,0,3,0,5,,,"{""BTC"":{""attempts"":107,""expectancy"":-2.5756894275700932,""max_drawdown"":275.5987687499999,""pnl"":-275.59876875},""ETH"":{""attempts"":47,""expectancy"":-0.6887349734042555,""max_drawdown"":41.600981250000004,""pnl"":-32.37054375000001},""SOL"":{""attempts"":150,""expectancy"":-1.001642,""max_drawdown"":151.18876875000004,""pnl"":-150.2463}}","{""1"":{""attempts"":145,""expectancy"":-1.4812558189655172,""max_drawdown"":214.91334374999997,""pnl"":-214.78209374999997},""2"":{""attempts"":7,""expectancy"":-0.2195517857142856,""max_drawdown"":4.28265,""pnl"":-1.5368624999999991},""3"":{""attempts"":13,""expectancy"":-1.213804326923077,""max_drawdown"":17.84195625,""pnl"":-15.779456249999999},""4"":{""attempts"":20,""expectancy"":-1.0110009375000002,""max_drawdown"":22.9257375,""pnl"":-20.22001875},""5"":{""attempts"":119,""expectancy"":-1.7302284138655464,""max_drawdown"":208.22446875000003,""pnl"":-205.89718125000002}}",False
btc_15s,15,BTC,standard,116,1.9333333333333333,116,1.0,0.375,49,0.1584051724137931,67,0.5775862068965517,4360.4925,72.674875,-228.05579999999998,-1.9659982758620689,-0.05230046835305873,0.2672413793103448,228.0558,-2.7230110143442623,-1.264661590909091,0,1,1,5,,,"{""BTC"":{""attempts"":116,""expectancy"":-1.9659982758620689,""max_drawdown"":228.0558,""pnl"":-228.05579999999998}}","{""1"":{""attempts"":56,""expectancy"":-2.586643526785714,""max_drawdown"":146.80316249999998,""pnl"":-144.8520375},""2"":{""attempts"":3,""expectancy"":2.3148,""max_drawdown"":2.402381249999999,""pnl"":6.9444},""3"":{""attempts"":6,""expectancy"":-1.6134624999999998,""max_drawdown"":11.785743749999998,""pnl"":-9.680774999999999},""4"":{""attempts"":5,""expectancy"":-3.3664500000000004,""max_drawdown"":17.448356250000003,""pnl"":-16.832250000000002},""5"":{""attempts"":46,""expectancy"":-1.383372554347826,""max_drawdown"":66.61366874999999,""pnl"":-63.63513749999999}}",False
eth_15s,15,ETH,standard,50,0.8333333333333334,50,1.0,0.375,19,0.14250000000000002,31,0.62,1195.74375,19.9290625,-62.69319375000001,-1.2538638750000002,-0.0524302918162859,0.28,64.63569375000002,-2.120706367924529,-0.3806650000000003,0,1,1,5,,,"{""ETH"":{""attempts"":50,""expectancy"":-1.2538638750000002,""max_drawdown"":64.63569375000002,""pnl"":-62.69319375000001}}","{""1"":{""attempts"":22,""expectancy"":-1.3872085227272728,""max_drawdown"":30.518587500000006,""pnl"":-30.518587500000002},""2"":{""attempts"":3,""expectancy"":-1.0310875,""max_drawdown"":3.0932625,""pnl"":-3.0932625},""3"":{""attempts"":2,""expectancy"":-0.4415156250000003,""max_drawdown"":1.5955312500000007,""pnl"":-0.8830312500000006},""4"":{""attempts"":2,""expectancy"":0.3796874999999994,""max_drawdown"":0.19687499999999997,""pnl"":0.7593749999999988},""5"":{""attempts"":21,""expectancy"":-1.3789375000000004,""max_drawdown"":30.900187500000005,""pnl"":-28.957687500000006}}",False
sol_15s,15,SOL,standard,157,2.6166666666666667,153,0.9745222929936306,0.36544585987261147,41,0.09792993630573249,112,0.7320261437908496,2602.25625,43.3709375,-111.34719374999997,-0.7092177945859871,-0.04278871219926938,0.20382165605095542,113.37993749999997,-0.9772259053738317,-0.45275252329192545,0,1,1,5,,,"{""SOL"":{""attempts"":157,""expectancy"":-0.7092177945859871,""max_drawdown"":113.37993749999997,""pnl"":-111.34719374999997}}","{""1"":{""attempts"":76,""expectancy"":-0.8029068256578946,""max_drawdown"":62.79913124999999,""pnl"":-61.020918749999986},""2"":{""attempts"":1,""expectancy"":-0.5004374999999998,""max_drawdown"":0.5004374999999998,""pnl"":-0.5004374999999998},""3"":{""attempts"":5,""expectancy"":1.3897575000000004,""max_drawdown"":0.3740624999999982,""pnl"":6.948787500000002},""4"":{""attempts"":14,""expectancy"":-0.2839232142857142,""max_drawdown"":3.974924999999999,""pnl"":-3.974924999999999},""5"":{""attempts"":61,""expectancy"":-0.8655688524590163,""max_drawdown"":55.194937499999995,""pnl"":-52.799699999999994}}",False
near_expiry_5s,5,ALL,near_expiry,49,0.8166666666666667,47,0.9591836734693877,0.3596938775510204,11,0.08418367346938775,36,0.7659574468085106,893.74875,14.8958125,-56.79838124999999,-1.159150637755102,-0.06355072524576957,0.14285714285714285,60.126506249999984,-1.7489976562499998,-0.5872675,0,3,0,3,,,"{""BTC"":{""attempts"":8,""expectancy"":-1.23894140625,""max_drawdown"":13.23965625,""pnl"":-9.91153125},""ETH"":{""attempts"":10,""expectancy"":-1.9912050000000001,""max_drawdown"":19.91205,""pnl"":-19.91205},""SOL"":{""attempts"":31,""expectancy"":-0.8701548387096772,""max_drawdown"":26.97479999999999,""pnl"":-26.974799999999995}}","{""1"":{""attempts"":20,""expectancy"":-1.8477243749999999,""max_drawdown"":36.9544875,""pnl"":-36.9544875},""2"":{""attempts"":4,""expectancy"":-0.4295062499999993,""max_drawdown"":1.7180249999999972,""pnl"":-1.7180249999999972},""5"":{""attempts"":25,""expectancy"":-0.7250347500000001,""max_drawdown"":21.453993750000002,""pnl"":-18.12586875}}",False
