absolute_coefficient,coefficient,feature,max_abs_feature_correlation,redundant_with,standardized_mean_drift,train_mean,train_missing_rate,train_outcome_correlation,train_std,validation_mean,validation_missing_rate,validation_outcome_correlation,validation_std
0.493667480661,0.493667480661,early_window_flag,0.6613602515,,0.10447033953111395,0.9892037786774629,0.0,0.05607902099212234,0.10334245462389553,1.0,0.0,0.0,0.0
0.441828792365,-0.441828792365,return_30s,0.8128486658,,-0.3916693138551524,1.2108223355913116e-05,0.044534412955465584,0.25627785047888685,0.0005192363341779639,-0.00019126071538023463,0.0,0.12922570483644552,0.0005398172374880224
0.400968395807,0.400968395807,return_15s,0.7573095143,,-0.3699816647414836,1.6373098224074274e-05,0.0,0.19246646050408975,0.00036407970567563214,-0.00011832971738038548,0.0,-0.06483677373871446,0.0004869682466292246
0.36986218323,0.36986218323,yes_no_spread,1.0,yes_price,-0.11485523079716421,-0.030248313090418356,0.0,0.40130301285126124,0.38935107143699776,-0.0749673202614379,0.0,0.34306073305689,0.3510006688316562
0.36986218323,0.36986218323,yes_price,1.0,yes_no_spread,-0.11485523079716439,0.48487584345479084,0.0,0.40130301285126124,0.19467553571849888,0.46251633986928103,0.0,0.34306073305689,0.1755003344158281
0.360149582005,0.360149582005,probability_change_30s,0.8128486658,,-0.25622047807932175,0.0013427800269905528,0.04723346828609987,0.26362991495166405,0.12487828856648538,-0.03065359477124183,0.0,0.15948979653356576,0.11562941256085808
0.356936119619,-0.356936119619,probability_change_15s,0.7573095143,,-0.2869496976420073,0.009865047233468286,0.002699055330634278,0.15670015954584202,0.09439727477770006,-0.017222222222222226,0.0,0.06553826087843326,0.09445905308008978
0.298963081668,0.298963081668,late_window_flag,0.9796574378,detection_delay,-0.05202268683827087,0.002699055330634278,0.0,0.05016043273516109,0.051882274728046116,0.0,0.0,0.0,0.0
0.276993639921,0.276993639921,return_60s,0.8920166644,,-0.23543249953818926,-2.2897788707331095e-05,0.05263157894736842,0.34305065705022186,0.0007770069989101733,-0.00020583048861942031,0.0,0.2513899657332201,0.0008112192871558579
0.150589828343,0.150589828343,detection_delay,0.9796574378,late_window_flag,-0.06909253003160895,0.5188918556005399,0.0,0.030436821950690043,7.510100663026139,0.0,0.0,0.0,0.0
0.146348049945,-0.146348049945,volatility_30s,0.8306401997,,0.3126534362772922,0.00012286228765153871,0.012145748987854251,-0.028635308338909923,0.00011543359578893646,0.00015895299803679366,0.0,-0.09298921596268112,0.00013376033549374072
0.144842093667,-0.144842093667,momentum_medium,0.8920166644,,0.08504726695084674,3.0976524955616164e-05,0.05263157894736842,-0.30333091535007073,0.0006646215488157543,8.750077123903485e-05,0.0,-0.3130937161329119,0.0007521896055074478
0.072829627203,0.072829627203,momentum_short,0.6151144614,,0.14956864254330288,-6.529188886138981e-06,0.012145748987854251,-0.1082854309282649,0.00023845778904940125,2.9136618925857238e-05,0.0,0.12065619559330075,0.00032047794749252417
0.070524646752,0.070524646752,volatility_60s,0.8306401997,,0.20303737863462584,0.00014508877948105078,0.0,-0.025382953507660566,0.00010539729924468523,0.0001664883708348609,0.0,-0.13692732410231773,0.00010833666134283493
0.066483744234,-0.066483744234,confidence_score,0.786109947,,-0.1733496148496013,0.1486855910931174,0.0,0.12874112678063343,0.054455761086948745,0.13924570588235294,0.0,0.11384857893001984,0.050512046038464195
0.023258858053,0.023258858053,return_5s,0.7557297703,,-0.3473171019612771,1.0550042359663319e-05,0.012145748987854251,0.15154062153894435,0.000287181772077875,-8.919309845452823e-05,0.0,0.023018946612732853,0.0003081895974959991
0.023103623509,-0.023103623509,lag_score,0.786109947,,-0.24369254500033355,0.04057611605937922,0.0,0.16321416766192412,0.06451075170137881,0.02485532679738562,0.0,0.16738574833255496,0.05361551545630087
