wallet_id,profile_url,wallet_classification,positions_visible,active_positions_count,closed_positions_count,fast_crypto_positions_count,weather_positions_count,mixed_or_other_positions_count,btc_updown_count,eth_updown_count,sol_updown_count,non_crypto_count,fast_market_share,yes_count,no_count,yes_no_balance,cheap_side_buying_share,favorite_side_buying_share,average_entry_price,median_entry_price,entry_bucket_0_10c,entry_bucket_10_20c,entry_bucket_20_40c,entry_bucket_40_60c,entry_bucket_60_80c,entry_bucket_80_100c,average_position_size,median_position_size,largest_visible_position,sizing_concentration,repeated_asset_timeframe_markets,repeated_side,repeated_price_bucket,repeated_cheap_side_behavior,repeated_late_window_behavior,closed_resolution_like_price_share,public_data_completeness,likely_delay_risk,liquidity_fill_uncertainty,unknown_exit_timing_risk,overall_copyability_score,data_limit_notes,exposure_distribution
0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,https://polymarket.com/0x1f0ebc543b2d411f66947041625c0aa1ce61cf86,fast_crypto_focused,57,7,50,44,0,13,17,15,12,13,0.77193,26,31,0.912281,0.210526,0.45614,0.510345,0.572583,5,7,7,12,18,8,2400.472322,1519.369647,10227.2932,0.074746,ETH:updown_window_unknown:9/57:0.157895,NO:31/57:0.54386,60_80c:18/57:0.315789,yes,unavailable_from_public_snapshot,1,partial_truncated_snapshot,high,high,high,10,"first-page public snapshot only; holding time, drawdown, entry/exit linkage, late-window timing, and Binance-lag behavior unavailable","{""BTC"": 17, ""ETH"": 15, ""OTHER"": 13, ""SOL"": 12}"
0x594edB9112f526Fa6A80b8F858A6379C8A2c1C11,https://polymarket.com/@0x594edB9112f526Fa6A80b8F858A6379C8A2c1C11,weather_focused,100,50,50,0,88,12,0,0,0,100,0,65,34,0.686869,0.63,0.33,0.333585,0.0115,63,0,2,2,4,29,3604.63017,2194.935529,28034.57,0.077774,OTHER:other_timeframe:100/100:1,YES:65/99:0.656566,0_10c:63/100:0.63,yes,unavailable_from_public_snapshot,0.96,partial_truncated_snapshot,medium,high,high,0,"first-page public snapshot only; holding time, drawdown, entry/exit linkage, late-window timing, and Binance-lag behavior unavailable","{""OTHER"": 100}"
0x63ce342161250d705dc0b16df89036c8e5f9ba9a,https://polymarket.com/0x63ce342161250d705dc0b16df89036c8e5f9ba9a,fast_crypto_focused,50,0,50,45,0,5,21,20,4,5,0.9,24,26,0.96,0.08,0.22,0.43435,0.420023,1,3,18,17,11,0,5161.256686,1278.79172,175204.817091,0.678923,ETH:5m:16/50:0.32,NO:26/50:0.52,20_40c:18/50:0.36,no,unavailable_from_public_snapshot,0.98,partial_truncated_snapshot,high,high,high,5,"first-page public snapshot only; holding time, drawdown, entry/exit linkage, late-window timing, and Binance-lag behavior unavailable","{""BTC"": 21, ""ETH"": 20, ""OTHER"": 5, ""SOL"": 4}"
0xd0d6053c3c37e727402d84c14069780d360993aa,https://polymarket.com/@k9Q2mX4L8A7ZP3R,fast_crypto_focused,53,3,50,38,0,15,21,8,9,15,0.716981,24,29,0.90566,0.018868,0.245283,0.492986,0.51,0,1,13,26,12,1,1184.62911,378.749264,10461.924697,0.16663,OTHER:5m:13/53:0.245283,NO:29/53:0.54717,40_60c:26/53:0.490566,no,unavailable_from_public_snapshot,0.96,partial_truncated_snapshot,high,high,high,5,"first-page public snapshot only; holding time, drawdown, entry/exit linkage, late-window timing, and Binance-lag behavior unavailable","{""BTC"": 21, ""ETH"": 8, ""OTHER"": 15, ""SOL"": 9}"
0xde17f7144fbd0eddb2679132c10ff5e74b120988,https://polymarket.com/0xde17f7144fbd0eddb2679132c10ff5e74b120988,mixed,100,50,50,0,0,100,0,0,0,0,0,48,52,0.96,0.41,0.32,0.407346,0.314591,30,11,13,14,9,23,21665.913818,7209.602225,148040.0069,0.068329,BTC:other_timeframe:100/100:1,NO:52/100:0.52,0_10c:30/100:0.3,yes,unavailable_from_public_snapshot,1,partial_truncated_snapshot,medium_high,high,high,5,"first-page public snapshot only; holding time, drawdown, entry/exit linkage, late-window timing, and Binance-lag behavior unavailable","{""BTC"": 100}"
0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,https://polymarket.com/0xde79cc7660d5c05b4cd2f4e72cae30cde2583d9a,fast_crypto_focused,100,50,50,100,0,0,100,0,0,0,1,47,53,0.94,0.18,0.55,0.632224,0.79516,6,12,14,13,5,50,153.436968,87.201925,479.934414,0.031279,BTC:15m:52/100:0.52,NO:53/100:0.53,80_100c:50/100:0.5,yes,unavailable_from_public_snapshot,1,partial_truncated_snapshot,high,medium,high,10,"first-page public snapshot only; holding time, drawdown, entry/exit linkage, late-window timing, and Binance-lag behavior unavailable","{""BTC"": 100}"
