segment_feature,segment,threshold_median,model,rows,positive_rate,log_loss,brier,accuracy,roc_auc,mean_prediction
quote_age_seconds,low,2.519216,yes_price_only,65,0.6307692307692307,0.6151718991400943,0.21454192307692307,0.6615384615384615,0.7352642276422764,0.4803846153846154
quote_age_seconds,low,2.519216,microstructure_only_diagnostic_logistic,65,0.6307692307692307,0.772194528940705,0.2840050585617497,0.46153846153846156,0.5010162601626016,0.4675846206957422
quote_age_seconds,low,2.519216,yes_price_plus_microstructure_diagnostic_logistic,65,0.6307692307692307,0.7409966356978163,0.26802401487053024,0.5076923076923077,0.5741869918699187,0.4705800700042215
quote_age_seconds,high,2.519216,yes_price_only,64,0.5,0.47734348458981707,0.150378125,0.796875,0.8876953125,0.53328125
quote_age_seconds,high,2.519216,microstructure_only_diagnostic_logistic,64,0.5,0.5820050904525454,0.1983833466825112,0.671875,0.7861328125,0.5264501323410806
quote_age_seconds,high,2.519216,yes_price_plus_microstructure_diagnostic_logistic,64,0.5,0.47876533085421913,0.15157217159944383,0.8125,0.8857421875,0.5340174780103164
repricing_velocity,low,0.0,yes_price_only,89,0.550561797752809,0.5181701991991283,0.1698862359550562,0.7640449438202247,0.8464285714285714,0.5008426966292135
repricing_velocity,low,0.0,microstructure_only_diagnostic_logistic,89,0.550561797752809,0.653259188143701,0.23212500492530236,0.5730337078651685,0.6443877551020408,0.4976125439821274
repricing_velocity,low,0.0,yes_price_plus_microstructure_diagnostic_logistic,89,0.550561797752809,0.5740916683189853,0.19453257898405205,0.6966292134831461,0.7739795918367347,0.49940335028222993
repricing_velocity,high,0.0,yes_price_only,40,0.6,0.6104752182282998,0.21123875,0.65,0.7044270833333334,0.5195000000000001
repricing_velocity,high,0.0,microstructure_only_diagnostic_logistic,40,0.6,0.7325225606329834,0.26244343889606336,0.55,0.5729166666666666,0.4949573100160767
repricing_velocity,high,0.0,yes_price_plus_microstructure_diagnostic_logistic,40,0.6,0.6927901003659598,0.24521951048420595,0.575,0.6432291666666666,0.5079481241954047
book_imbalance,low,-0.012134783641747084,yes_price_only,65,0.4461538461538462,0.5529433315816878,0.1855330769230769,0.7538461538461538,0.7983716475095786,0.4075384615384615
book_imbalance,low,-0.012134783641747084,microstructure_only_diagnostic_logistic,65,0.4461538461538462,0.7143940570008953,0.26000099945621385,0.49230769230769234,0.5354406130268199,0.3997877010322743
book_imbalance,low,-0.012134783641747084,yes_price_plus_microstructure_diagnostic_logistic,65,0.4461538461538462,0.63124275197836,0.22060864446440556,0.6615384615384615,0.6915708812260536,0.4062648092035702
book_imbalance,high,-0.012134783641747084,yes_price_only,64,0.6875,0.5405443735163236,0.179840234375,0.703125,0.7698863636363636,0.607265625
book_imbalance,high,-0.012134783641747084,microstructure_only_diagnostic_logistic,64,0.6875,0.6407086947664147,0.222762469211571,0.640625,0.6170454545454546,0.5953063788742903
book_imbalance,high,-0.012134783641747084,yes_price_plus_microstructure_diagnostic_logistic,64,0.6875,0.5902341190067919,0.19972840716816423,0.65625,0.7056818181818182,0.5993376647609778
spread_compression,low,-0.0,yes_price_only,112,0.5714285714285714,0.5494971519312084,0.18329821428571427,0.7410714285714286,0.7985026041666666,0.5231250000000001
spread_compression,low,-0.0,microstructure_only_diagnostic_logistic,112,0.5714285714285714,0.6775349227273796,0.2413793893785783,0.5625,0.6220703125,0.505182132224441
spread_compression,low,-0.0,yes_price_plus_microstructure_diagnostic_logistic,112,0.5714285714285714,0.6059259580887548,0.20765255378152497,0.6607142857142857,0.7249348958333334,0.524938955846003
spread_compression,high,-0.0,yes_price_only,17,0.5294117647058824,0.528969143621122,0.178825,0.6470588235294118,0.9166666666666666,0.39794117647058824
spread_compression,high,-0.0,microstructure_only_diagnostic_logistic,17,0.5294117647058824,0.6798269896848361,0.24249243434080447,0.5882352941176471,0.5972222222222222,0.44149470623029496
spread_compression,high,-0.0,yes_price_plus_microstructure_diagnostic_logistic,17,0.5294117647058824,0.6436503052404438,0.22735846620106337,0.6470588235294118,0.7916666666666666,0.3512741228342535
cross_asset_yes_dispersion,low,0.09000000000000008,yes_price_only,65,0.5230769230769231,0.5254969855697356,0.17282807692307692,0.7692307692307693,0.8055028462998103,0.5133076923076924
cross_asset_yes_dispersion,low,0.09000000000000008,microstructure_only_diagnostic_logistic,65,0.5230769230769231,0.6039729677506075,0.20963656212065207,0.676923076923077,0.7381404174573055,0.4647513556146958
cross_asset_yes_dispersion,low,0.09000000000000008,yes_price_plus_microstructure_diagnostic_logistic,65,0.5230769230769231,0.5472045061640615,0.18205934439398888,0.7230769230769231,0.7979127134724858,0.46520123096231697
cross_asset_yes_dispersion,high,0.09000000000000008,yes_price_only,64,0.609375,0.5684195686847126,0.19274375,0.6875,0.7974358974358975,0.49984375
cross_asset_yes_dispersion,high,0.09000000000000008,microstructure_only_diagnostic_logistic,64,0.609375,0.7528551135362381,0.27391385088050096,0.453125,0.4728205128205128,0.5293276671890184
cross_asset_yes_dispersion,high,0.09000000000000008,yes_price_plus_microstructure_diagnostic_logistic,64,0.609375,0.6755854624119388,0.23888004005218114,0.59375,0.6256410256410256,0.5394803614122508
asset,BTC,,yes_price_only,43,0.5813953488372093,0.5619605057592119,0.19068720930232558,0.7209302325581395,0.7822222222222223,0.51
asset,BTC,,microstructure_only_diagnostic_logistic,43,0.5813953488372093,0.7414927275815122,0.2696588423267225,0.4883720930232558,0.5177777777777778,0.5069740066554275
asset,BTC,,yes_price_plus_microstructure_diagnostic_logistic,43,0.5813953488372093,0.6767650919365552,0.2375634388528647,0.5813953488372093,0.6555555555555556,0.5102161933149882
asset,ETH,,yes_price_only,43,0.5581395348837209,0.5693115751992388,0.1910593023255814,0.6976744186046512,0.7916666666666666,0.5088372093023256
asset,ETH,,microstructure_only_diagnostic_logistic,43,0.5581395348837209,0.61965871841608,0.2162690692318711,0.6046511627906976,0.6907894736842105,0.5246755581181302
asset,ETH,,yes_price_plus_microstructure_diagnostic_logistic,43,0.5581395348837209,0.5841606524341065,0.19809897167014023,0.6976744186046512,0.7609649122807017,0.5215819419303365
asset,SOL,,yes_price_only,43,0.5581395348837209,0.509103650619559,0.1663796511627907,0.7674418604651163,0.8344298245614035,0.501046511627907
asset,SOL,,microstructure_only_diagnostic_logistic,43,0.5581395348837209,0.6723594881909829,0.2386502976087191,0.6046511627906976,0.6381578947368421,0.4587180820881262
asset,SOL,,yes_price_plus_microstructure_diagnostic_logistic,43,0.5581395348837209,0.571766406676503,0.19508596038278278,0.6976744186046512,0.7785087719298246,0.4743605424973415
