fold,sample_size,wins,losses,win_rate,win_rate_wilson_95_low,win_rate_wilson_95_high,expectancy,expectancy_95_low,expectancy_95_high,max_drawdown,first_trade_utc,last_trade_utc,unique_markets
1,40,31,9,0.775,0.6249690325768998,0.8768390867645927,-0.1039706256115707,-0.2235414554376289,0.015600204214487517,4.618825057429504,2026-02-16T06:47:49+00:00,2026-06-20T16:47:02+00:00,40
2,40,29,11,0.725,0.5716504419378943,0.8389198375233267,-0.0064241140260454885,-0.13350707213697013,0.12065884408487916,2.0545346245401843,2026-06-20T16:50:50+00:00,2026-06-25T11:05:52+00:00,40
3,44,36,8,0.8181818181818182,0.6803944911281533,0.9048719428437227,-0.007062841541580272,-0.11183093668463825,0.09770525360147772,3.209999648747309,2026-06-25T11:06:56+00:00,2026-06-25T21:36:43+00:00,39
