segment_type,segment,signals,wins,win_rate,pnl_after_slippage,expectancy,pnl_std,avg_favorable_repricing,avg_adverse_move
overall,all,28,16,0.5714285714285714,0.40650000000000036,0.014517857142857155,0.09483821332326546,0.32649999999999996,-0.11642857142857142
asset,BTC,5,4,0.8,0.445,0.089,0.13069047402163633,0.137,-0.244
asset,ETH,8,3,0.375,-0.07499999999999986,-0.009374999999999982,0.09256030852522971,0.2975625,-0.12124999999999998
asset,SOL,15,9,0.6,0.03650000000000019,0.002433333333333346,0.07562049671755354,0.4051,-0.07133333333333333
side,NO,23,11,0.4782608695652174,-0.19349999999999967,-0.008413043478260855,0.07445844664428504,0.2939782608695652,-0.12565217391304348
side,YES,5,5,1.0,0.6,0.12,0.11527141883398503,0.4761,-0.074
exit_reason,repricing_target,16,16,1.0,1.1500000000000001,0.07187500000000001,0.07786473313809446,0.38159375,-0.09031249999999999
exit_reason,stop_loss,8,0,0.0,-0.6649999999999999,-0.08312499999999999,0.05084552937223545,0.375625,-0.22562500000000002
exit_reason,timeout,4,0,0.0,-0.07849999999999993,-0.019624999999999983,0.008788012668781672,0.007875000000000016,-0.0025000000000000005
