trade_id,market_id,side,opened_at,closed_at,entry_price,exit_price,quantity,entry_score,exit_score,exit_reason,pnl,return_pct,holding_updates
shadow-000001,0x8e22e9bf1a5c5cf1e5a91126865227cf0b75a5ec64611f0e0b23348e2b8eebc6,YES,2026-06-24T15:48:20.766212+00:00,2026-06-24T15:48:22.757268+00:00,0.056,0.054,1785.71428571,0.704771,0.202241,score_below_threshold,-3.571429,-0.03571429,1
shadow-000002,0x76ee4df37777787c309b30aa15d0861f505cc65be0cea6ab16949e8fba9fa172,NO,2026-06-24T16:22:52.762411+00:00,2026-06-24T16:23:52.760121+00:00,0.361,0.014,277.00831025,0.773176,0.529726,timeout,-96.121884,-0.96121884,30
shadow-000003,0xe9b43bb6aa0a0aa923a5b7ea6e70758b5f517507971004160627be84bdb0dbe3,NO,2026-06-25T03:15:10.763656+00:00,2026-06-25T03:16:04.758767+00:00,0.486,0.594,205.76131687,0.704047,0.264,score_below_threshold,22.222222,0.22222222,27
